F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
-0.0003480,1.0750021,0.6959384,0.4893491,-0.0481924,0.5542582,0.4975444,-1.3091569,0.4704553,0.2096329,0.2699806,0.4472112,0.4875449,0.6169165,0.1919512,0.9793397,0.6186486,0.6173064,0.8000389,0.4251544,0.1258334
-0.1120464,0.9238676,0.4257251,0.3483067,0.0729085,0.7767665,0.5001419,-1.1743932,0.5718263,0.1671664,0.6480502,0.2952619,0.5478917,0.4582398,0.1426563,0.9186582,0.8057317,0.4375362,0.4310929,0.5140414,0.0322766
-0.1924871,0.7327564,0.3825920,0.4577852,-0.1222810,0.7988402,0.3859200,-1.4429330,0.4948654,0.3150840,0.2918341,0.5102334,0.3402892,0.4173431,-0.0642409,0.6679931,0.5202608,0.1658935,0.4065920,0.5123189,-0.1082815
-0.3483048,0.6425447,0.3531469,0.2095055,-0.4656597,1.0642506,0.0667192,-1.4572159,0.0770872,0.1032303,0.1396733,0.4259242,0.2071127,0.4041930,-0.4002343,0.3531171,0.2326568,0.1622329,0.2889444,0.4360441,-0.3108592
-0.3822007,0.8220976,-0.0480698,0.1638264,-0.4981630,0.7527748,-0.1114940,-1.5817909,-0.1333336,0.4620145,0.3133851,-0.1439302,0.2943939,-0.0590839,-0.3767334,0.1695819,0.2331766,0.0065450,0.2004603,0.2792580,-0.2102476
-0.2300037,0.7929573,-0.1697956,0.3039895,-0.1576011,0.8099241,-0.0400385,-1.5048125,0.3042766,-0.3632442,0.1031214,0.0646320,0.3356584,-0.0487036,-0.2038621,0.2869909,0.1761475,0.2184487,0.3758270,0.4581567,0.0960982
-0.1965658,0.6435020,0.0134043,0.1175416,-0.3712897,0.8359321,-0.0094187,-1.3540059,0.2653610,0.0009028,-0.0821645,0.5373418,0.2123416,0.0268699,-0.1076832,0.3961013,0.1399390,0.2526545,0.4714728,0.5765851,0.0688046
-0.2825762,0.5612917,0.0606336,0.0671000,-0.2709128,0.8810269,0.1321370,-1.5711133,0.0678702,-0.1862693,-0.2646158,0.0681252,0.0134366,-0.0348139,-0.2872164,0.3941797,0.2430317,0.2239736,0.4997543,0.3135838,0.0291993
-0.3392173,0.5490912,-0.0665876,0.0428123,-0.3344356,0.6272876,0.1548968,-1.5810955,0.1423102,-0.2684410,-0.1224036,-0.1986307,0.2514693,0.0914116,-0.4036200,0.4169233,0.4538511,0.4627226,0.2092127,0.3839256,0.2383565
-0.2813664,0.5265844,-0.0640614,0.1573956,-0.1200745,1.1554116,0.1124058,-1.5853548,0.0688428,-0.2031868,0.1306938,0.1507230,0.3802727,0.2383762,-0.1967342,0.3671471,0.4105733,0.6205880,-0.0266687,0.3048545,0.1875540
